iter	Logloss
0	0.6623479877
1	0.6363339325
2	0.6139915702
3	0.5922684874
4	0.5732298968
5	0.5568493569
6	0.5443503182
7	0.5318111968
8	0.5203152846
9	0.5094732221
10	0.5000504878
11	0.4916575198
12	0.4842796552
13	0.478675942
14	0.473326822
15	0.4687879756
16	0.4638390664
17	0.4596441729
18	0.45647444
19	0.4520678925
20	0.4483726156
21	0.4457641533
22	0.4429125251
23	0.4396428563
24	0.4371859793
25	0.4335384933
26	0.4311844597
27	0.4293788899
28	0.427370499
29	0.4242621904
30	0.4228395716
31	0.4210470153
32	0.4187394774
33	0.4172950614
34	0.4150400488
35	0.413970427
36	0.4128049343
37	0.4114312966
38	0.4105815209
39	0.4094014491
40	0.4081877599
41	0.4070576751
42	0.4061429006
43	0.4045940706
44	0.4032957345
45	0.4018448578
46	0.4008948214
47	0.4001302865
48	0.3993734748
49	0.3981809699
50	0.3971475254
51	0.3964765344
52	0.3953920506
53	0.394584432
54	0.3938251636
55	0.3933175781
56	0.3920813627
57	0.3911816943
58	0.3904535217
59	0.38987837
60	0.3886708101
61	0.3878980191
62	0.3873754829
63	0.3867001431
64	0.3861400393
65	0.3852804068
66	0.3848509562
67	0.3842772823
68	0.3837018005
69	0.383197612
70	0.3826713356
71	0.3820306514
72	0.3813276386
73	0.3807365104
74	0.3804371169
75	0.379914005
76	0.3794738471
77	0.3790067747
78	0.3787095682
79	0.3783994224
80	0.3780542179
81	0.3775043782
82	0.3770559743
83	0.3767661736
84	0.3762540905
85	0.3753413033
86	0.3750103277
87	0.3745875006
88	0.3740418628
89	0.3735742536
90	0.3729013394
91	0.3725441987
92	0.3722359589
93	0.3716015174
94	0.3711668435
95	0.3708542256
96	0.3705045295
97	0.370156808
98	0.3696905978
99	0.3694346085
100	0.368991285
101	0.3687092213
102	0.3684349439
103	0.3680184961
104	0.3677378227
105	0.3674840884
106	0.3668856794
107	0.3666562339
108	0.366377296
109	0.3661044688
110	0.3658485294
111	0.3654631918
112	0.3651783763
113	0.3649177638
114	0.3647397306
115	0.3644828039
116	0.3639108185
117	0.3634326042
118	0.3631263088
119	0.3628031353
120	0.362305614
121	0.3619055778
122	0.3616151119
123	0.3613082935
124	0.3608270737
125	0.3606143781
126	0.3602672243
127	0.3599353963
128	0.359680456
129	0.3594076381
130	0.3592773886
131	0.3588372301
132	0.3585453819
133	0.3583753639
134	0.3581406106
135	0.3577728371
136	0.3574352863
137	0.3571958975
138	0.3570340978
139	0.356812948
140	0.3565826171
141	0.3563906363
142	0.3562263936
143	0.3559834728
144	0.3555056759
145	0.3553266798
146	0.355101989
147	0.3548858508
148	0.3546796867
149	0.3544109246
150	0.3540409966
151	0.3535239576
152	0.3532392193
153	0.3530179525
154	0.3527874619
155	0.3524860009
156	0.3522781137
157	0.3520267839
158	0.3518266612
159	0.3516497025
160	0.3514383794
161	0.3513312612
162	0.3510302885
163	0.350825517
164	0.3506684104
165	0.3503825685
166	0.3500517533
167	0.3498029458
168	0.3496170721
169	0.3494039023
170	0.3492669104
171	0.348987512
172	0.3487226699
173	0.3485805859
174	0.3482944014
175	0.3480723095
176	0.3477510767
177	0.3475564826
178	0.3472808872
179	0.3471075248
180	0.3468458608
181	0.3465720561
182	0.3464025062
183	0.3460280977
184	0.3458008633
185	0.3456294484
186	0.3453680674
187	0.3451317752
188	0.3448826935
189	0.3446875888
190	0.3444717815
191	0.3442606682
192	0.3440228625
193	0.343875897
194	0.3436979111
195	0.3434234335
196	0.3433040828
197	0.343145684
198	0.34287835
199	0.3425365341
200	0.342346858
201	0.342130817
202	0.3418957603
203	0.341796964
204	0.3414576227
205	0.341222847
206	0.3410103293
207	0.3408166034
208	0.3406656825
209	0.3405072987
210	0.3402473224
211	0.3399474262
212	0.3398068966
213	0.3396023216
214	0.3394580453
215	0.3392882832
216	0.3391246388
217	0.3389497879
218	0.3387230913
219	0.3385710992
220	0.3384521995
221	0.3382102149
222	0.3380386247
223	0.3378599095
224	0.337500094
225	0.3373345913
226	0.3368525823
227	0.3366464991
228	0.3364845582
229	0.3361873471
230	0.3359473251
231	0.335804372
232	0.335637712
233	0.3353957926
234	0.3350930521
235	0.334851609
236	0.3346480475
237	0.3344504206
238	0.3342512868
239	0.3340649185
240	0.3339616228
241	0.3337202635
242	0.3335200272
243	0.333318519
244	0.3331170839
245	0.3329295721
246	0.3327845965
247	0.3325985631
248	0.3324066424
249	0.3322941933
250	0.3321275986
251	0.3319011074
252	0.3316853076
253	0.3314303219
254	0.3312613139
255	0.331146304
256	0.3309300283
257	0.3307570693
258	0.3305334287
259	0.330350202
260	0.3301193896
261	0.3299442757
